起点城市,香港,澳门,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
香港,15851.988039158115,963.3579654870337,2931.7107716641613,2639.430205862325,1130.0356831021197,913.7453139448497,1167.861129377801,498.6894550769333,518.1619269283445,1120.4973877921923,593.9915071503641
澳门,554.0110193544001,2578.625791803306,237.1031522730676,918.8737616667707,448.6433941932928,679.9866231031008,363.42078002439,515.9302711990644,342.7866968534093,268.94077997520657,154.51430202113593
广州,1669.8980341008873,2905.471216545135,2587.0378214986686,1206.557704320112,1215.7742392424025,906.405361502823,1052.4547605302844,2045.3524724120348,576.3752153302471,992.6386869581542,694.5157789830636
深圳,3219.023947205601,361.0772788808474,2958.9241268828205,3298.332079469251,602.7358238847246,908.9043244238402,1117.3406826927333,1058.2814741988877,316.2214885879615,548.9020698520414,899.0908215529478
珠海,487.28811301758105,184.70968138877447,662.314475129793,1100.8998431594819,5353.661694048141,582.8313857318001,340.1307165772164,254.72188607890791,633.3940231961791,121.37572491176496,246.28825654671334
佛山,1607.933455933767,947.5242173685832,1246.749725501489,2271.078965066537,367.1065711923,5640.619196514725,1466.211458982685,899.9877043775981,339.1303635334862,753.8198713557067,650.0243428786551
惠州,1045.1124114459499,189.6820940234894,496.97119042389784,1111.4065118919723,92.72563419360579,547.2111961741055,1782.8320808835517,501.68015092536416,235.90242261753662,328.3983678858841,83.84787450651771
东莞,799.2337065540522,355.0036353149021,1469.8840713146226,2791.224812054221,427.1419739693906,514.7500687994894,295.23484105064045,1922.3365882417215,232.91252219235145,184.91239855302024,144.22353583909907
中山,1259.5172040335929,301.54101337597655,262.503646991484,454.23926771393496,144.97719024458414,522.9696986220425,214.13048005955062,601.4076485781962,3379.0076964694936,265.5144678640559,188.62968038872035
江门,518.326733264082,265.84367193386663,595.1994181059556,161.93493767943247,395.23686900518334,324.32788619314675,274.81495862668083,361.51861800359336,289.3614086400834,3962.232336964872,58.46038900113877
肇庆,515.6401634303987,70.89065572450376,413.48903917918466,1059.991141740194,59.56724450645975,539.9946503712998,270.1004403431714,573.1318483648466,132.93843809151858,100.47934454439762,4473.466309646112
