起点城市,香港,澳门,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
香港,6466.466828337616,308.5242490234442,3630.413124187641,980.4349515548739,88.51490874885236,1535.7012107344906,339.63885121307993,1618.6514415701984,197.03669688322756,874.6016147476062,598.087789671983
澳门,810.5264399129387,2199.7321346827307,540.9263436312532,700.8559070190771,149.638385930938,274.90859266559386,234.69357835503996,681.0665127847866,231.70307631059805,288.90122459268906,222.0079927133692
广州,700.2563927358908,314.47194517631016,6036.346545614591,1518.511055616106,324.20770167450144,863.4344385467763,191.26418010876236,1037.557286230982,421.8502054205943,284.67468393928704,672.3120298733206
深圳,7743.135772880649,197.70454430976287,3427.6010957614208,4060.557216120531,715.4773758859966,771.6316271870294,1478.2550674049974,541.2451666321828,301.9262423300705,640.402155607437,905.6604469698399
珠海,581.139630120728,282.7078861958904,223.7949125066057,306.29295251552736,2409.399518739689,633.2329447533256,102.82434601850451,431.58949377802907,5.609408592837948,34.236995074433544,138.9462974113107
佛山,526.6694431599999,391.2594399206765,821.2394661931091,2477.1486670138415,232.653095644215,3370.010303585237,287.78558320815944,584.0690696225146,521.0628724743613,272.64243901662144,308.3812421771906
惠州,598.6849157834241,130.46198256434604,441.9016221667292,1446.1219302583518,299.8302867213527,147.19791786445577,3855.2894852024333,255.0863043957047,101.97486547091728,343.46798670878866,142.7673897262452
东莞,1142.8095835305355,466.11251796734723,824.3952114000007,622.3287098040951,284.6838612485321,1597.7531606815617,310.54668460452086,2920.3595709019723,393.3591364850226,621.2651768364613,172.7111520272411
中山,652.8229113193025,72.75053824065024,1281.163648841175,789.3706284019624,68.1948830971702,226.10500356294497,158.00915804648585,385.62091942451616,4494.389166239856,120.5753211031211,124.47372226488406
江门,291.7939156532839,312.8742127208575,716.034389407463,704.6497252659465,247.99952165548717,690.2176930037759,321.4417510741454,99.02483509188097,101.320496481019,1569.9602995985542,167.43674836213327
肇庆,415.01483404380775,105.22293021795606,675.261762592522,533.5615379313549,114.79171730514304,584.857290405726,186.71451996180207,417.25748256943245,51.350069597895825,49.75300442169847,1639.1504975387481
