起点城市,香港,澳门,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
香港,4860.30246264935,262.75025377953546,4004.8743370259667,3722.8944658915307,1485.6708217631397,935.0009041734032,649.6195560649576,765.6394365779772,524.9962927761908,320.5630519189786,670.8987142710464
澳门,969.0038096703689,3791.2251575001264,435.2700989931982,960.2382119488838,92.17614721944558,381.8204167546411,453.83092902433583,632.0405782609446,144.97391251135642,121.92321481574947,234.45579660435345
广州,638.1284877800636,639.0009136698649,4774.2461211327945,1455.865420790362,381.0095996796489,697.4438295997292,289.3812182989384,2246.8372272454985,345.18003583482016,518.8275686918536,641.0899013941868
深圳,2667.8602130267154,150.33340113343252,4329.892916342015,7489.365428206654,382.66293542477007,1809.340910722965,1254.801214204977,1257.2411325679916,292.9670342817016,604.623594439382,806.5646664176458
珠海,899.4973298099862,268.7002503006923,123.42184729381322,146.86819268455935,5847.647729114338,471.38832355820125,200.0729520775334,997.7181841732444,153.0528832365865,242.17609419303363,137.45683820703383
佛山,392.94340067004833,166.52324942843092,581.7128470989499,897.328041898745,576.9840632009946,5429.914094789397,433.29993602549,1010.0885741604625,402.7246129461481,321.0927551055277,125.16933660228125
惠州,660.3873147725859,158.81327597259207,972.9416748689536,538.8632860070312,21.8510098803261,852.8802082183227,1752.6042090222797,499.74876176684097,236.89198597595396,99.8480432291632,380.74949789563107
东莞,771.5009085766859,199.03683008488144,1269.378774422925,2789.652357048348,151.98879892280513,179.08105074516376,133.58237230862278,2812.507033462412,427.186847900915,421.7614582053666,340.4619522747659
中山,503.0740007113861,232.83382767561272,274.84319274787174,558.8110176523635,120.95387402714135,283.16496172234486,200.81328630554586,1034.1679181182872,3379.661466607013,161.49340596259438,130.8909625192122
江门,1168.4939923228883,88.66885039198144,319.36054100034676,437.03386434107955,68.65729921978148,354.4110651462479,51.338429630772644,257.2990200961868,106.31419059345515,2771.7696674970284,111.94401054496281
肇庆,451.67617754381047,104.75675071667344,186.62393845758356,525.2088052641037,203.2446712827623,96.75706796245363,165.8622937500611,187.55766093855718,112.7095699180213,123.8873111557606,2259.376242968062
